query,named_entity,type
Albums/musicians/songs similar to the album The Golden Age of Apocalypse by Thundercat,the golden age of apocalypse,WoA
Albums/musicians/songs similar to the album The Golden Age of Apocalypse by Thundercat,thundercat,Artist
Mellow / Melancholic acoustic music.,,
"Music similar to ""lowercase""",,
Upbeat breakup songs?,,
any similar songs to this?,,
JHASHUAH - Rolling Stone (Remix),jhashuah,Artist
JHASHUAH - Rolling Stone (Remix), rolling stone,WoA
"Pls, recommend something similar to this...",,
"looking for songs that are mysterious in a ""come-hither"" kind of way",,
More songs like these?,,
5 Love Songs that have to do with rain?,,
I'd like some help finding more music to listen to,,
Artists suggestions,,
"Any songs similar to shut eye by stealing sheep, willow by jasmine, or somewhere only we know my",shut eye,WoA
"Any songs similar to shut eye by stealing sheep, willow by jasmine, or somewhere only we know my",stealing sheep,Artist
"Any songs similar to shut eye by stealing sheep, willow by jasmine, or somewhere only we know my",willow,WoA
"Any songs similar to shut eye by stealing sheep, willow by jasmine, or somewhere only we know my",jasmine,Artist
"Any songs similar to shut eye by stealing sheep, willow by jasmine, or somewhere only we know my",somewhere only we know,WoA
warmer weather is finally here and I need some new music to celebrate.,,
Looking for songs like Catastrophe - Brennan savage,catastrophe,WoA
Looking for songs like Catastrophe - Brennan savage,brennan savage,Artist
"songs like this, or what genre this song is?",,
Similar to Epik High?,epik high,Artist
Rap songs like Percs by Denzel Curry?,percs,WoA
Rap songs like Percs by Denzel Curry?,denzel curry,Artist
"What are some high quality, great feel-good songs?",,
Rob Thomas - Little Wonders recomendations,rob thomas,Artist
Rob Thomas - Little Wonders recomendations,little wonders,WoA
More songs like All for Us by Labrinth?,all for us,WoA
More songs like All for Us by Labrinth?,labrinth,Artist
"Wanting suggestion on music like you are entering into another world, fairyland...peaceful kingdom etc With flutes that sort of thing",,
The Internet - Hold On,the internet,Artist
The Internet - Hold On,hold on,WoA
Any bands similar to Alvvays and Pixies?,alvvays,Artist
Any bands similar to Alvvays and Pixies?,pixies,Artist
Looking for more songs for a rainy Christmas,,
What are some songs that really get you in the feels?,,
Suggestions for relaxing melodic music with female vocals,,
Any suggestions for songs similar too the ending credits song from Bojack Horseman?,bojack horseman,WoA
Anything like Machine Girl?,machine girl,Artist
Songs about imperfect sides of love/relationships?,,
Never heard something similar to LCD Soundsystem,lcd soundsystem,Artist
Give me your favourite acoustic/slower songs.,,
Suggest me more artist Like Jackson C. Frank and Sibylle Baier,jackson c frank,Artist
Suggest me more artist Like Jackson C. Frank and Sibylle Baier,sibylle baier,Artist
Fats pace orchestral scores?,,
Something with a similar feel (kinda atmospheric) to Natalie Taylor - I Want it All,natalie taylor,Artist
Something with a similar feel (kinda atmospheric) to Natalie Taylor - I Want it All, i want it all,WoA
Song suggestions for a sad/alt type playlist?,,
Songs that have this feel of sorrow but with a catchy beat.,,
Meaningful lyrics,,
Songs similar to The Sun III by Snakadaktal,the sun iii,WoA
Songs similar to The Sun III by Snakadaktal,snakadaktal,Artist
"Looking for a very specific sound, more info below",,
Songs or bands with similar music?,,
Aggressive/hype rap songs?,,
Looking for a rapper smooth and lyrically consistent like Notorious BIG.,notorious big,Artist
Looking for a song like Darkthrone - Quintessence.,darkthrone,Artist
Looking for a song like Darkthrone - Quintessence.,quintessence,WoA
More songs like Handsome Boy Modelling School - I’ve Been Thinkin’,handsome boy modelling school,Artist
More songs like Handsome Boy Modelling School - I’ve Been Thinkin’,ive been thinkin,WoA
I like mostly comedy songs.,,
any songs like I’m Sorry We Lied by Blood Orange?,im sorry we lied,WoA
any songs like I’m Sorry We Lied by Blood Orange?,blood orange,Artist
What music do you listen to on the way in to work to shake the sleep out of you?,,
Looking songs that are equally offensive and funny that are similar to these,,
I want to find more music where it is clear that the artist is *extremely* passionate but the song still has a nice beat that sounds nice.,,
Are there songs that sound similar to the intro of My Right by Screeching Weasel?,my right,WoA
Are there songs that sound similar to the intro of My Right by Screeching Weasel?,screeching weasel,Artist
Desperate for new music,,
Artists/Songs similar to this?,,
Background music that isn't overused,,
Rock album book club,,
Need music like this!,,
What is this Genre called? I have heard it before.,,
Looking for any kind of rock,,
"Recommend me some good Jazz music, please.",,
Looking for a lovesong,,
Music that utilizes dissonant chords and is often off beat / random,,
Looking for artists who make music similar to musical theater?,,
"Albums like ""Dreaming Out Loud"" by One Republic.",dreaming out loud,WoA
"Albums like ""Dreaming Out Loud"" by One Republic.",one republic,Artist
Looking for more peaceful acoustic guitar songs like Bron-Yr-Aur by Led Zeppelin or Orchid by Black Sabbath,bron yr aur,WoA
Looking for more peaceful acoustic guitar songs like Bron-Yr-Aur by Led Zeppelin or Orchid by Black Sabbath,led zeppelin,Artist
Looking for more peaceful acoustic guitar songs like Bron-Yr-Aur by Led Zeppelin or Orchid by Black Sabbath,orchid,WoA
Looking for more peaceful acoustic guitar songs like Bron-Yr-Aur by Led Zeppelin or Orchid by Black Sabbath,black sabbath,Artist
The somber male vocals in metal / screamo type music... Without the growling and screaming.,,
Charlie MarHendrix - Popdelic Wonderland,charlie marhendrix,Artist
Charlie MarHendrix - Popdelic Wonderland,popdelic wonderland,WoA
Looking for music with a similar sound to I Wanna Be Adored by The Stone Roses,i wanna be adored,WoA
Looking for music with a similar sound to I Wanna Be Adored by The Stone Roses,the stone roses,Artist
"I like screamed vocals and really good, prominent bass playing. What are some bands that have both",,
"Music like Rush, Blind Guardian, Ronnie James Dio, Pink Floyd, The Doors?",pink floyd,Artist
"Music like Rush, Blind Guardian, Ronnie James Dio, Pink Floyd, The Doors?",the doors,Artist
"Music like Rush, Blind Guardian, Ronnie James Dio, Pink Floyd, The Doors?",rush,Artist
"Music like Rush, Blind Guardian, Ronnie James Dio, Pink Floyd, The Doors?",blind guardian,Artist
"Music like Rush, Blind Guardian, Ronnie James Dio, Pink Floyd, The Doors?",ronnie james dio,Artist
"I love the beat and delivery, suggest anything similar?",the beat and delivery,Artist
I'm looking for a song about how someone is always destroying everything they loves,,
Can you recommend me similar songs to this one please?,,
Late 70s and 80s era music,,
Any songs that are good for listening on a 5.1 sound system? With lots of sound effects,,
"Instrumental piano music similar to Jerry Martin's ""The Sims"" 'build' music",jerry martins,Artist
"Instrumental piano music similar to Jerry Martin's ""The Sims"" 'build' music",the sims,WoA
Need help finding slimier sounding artists.,,
[Request] Looking for more similar music,,
Simple music with a good male singer? Genre doesn't matter much but something that doesn't sound extremely overproduced or too busy.,,
"Looking for a band like Nothing More, Soilwork, Textures or Volumes. OR a band like Wagakki band.",nothing more,Artist
"Looking for a band like Nothing More, Soilwork, Textures or Volumes. OR a band like Wagakki band.",soilwork,Artist
"Looking for a band like Nothing More, Soilwork, Textures or Volumes. OR a band like Wagakki band.",textures,Artist
"Looking for a band like Nothing More, Soilwork, Textures or Volumes. OR a band like Wagakki band.",volumes,Artist
"Looking for a band like Nothing More, Soilwork, Textures or Volumes. OR a band like Wagakki band.",wagakki band,Artist
I'm looking for Noir/Crime Jazz.,,
Songs To Sing In The Car,,
60-70s mellow rock ?,,
I like Acoustic or simple compositions of just 2 or 3 instruments without excessive effects added.,,
Is there any other songs like this you may want to recommend to me? It's just a cold rainy night type feel,,
Songs with similar mood,,
Looking for songs with a haunting sense of love,,
Instrumental/orchestral/movie scores similar the first half of All My Life by The Staves?,all my life,WoA
Instrumental/orchestral/movie scores similar the first half of All My Life by The Staves?,the staves,Artist
Songs like Spin Me Right Round (Like A Record),spin me right round | like a record,WoA
Emo bands please,,
Can you recommend something similar to this: Song of Durin A Cappella (Complete Edition) - Clamavi De Profundis,song of durin a cappella complete edition,WoA
Can you recommend something similar to this: Song of Durin A Cappella (Complete Edition) - Clamavi De Profundis,clamavi de profundis,Artist
Happy Songs For My Playlist,,
"Some good new metal bands that dont fit into metalcore, djent and similar genres",,
Soundtrack similar to Chicago,chicago,WoA
ENGLISH Alternative rock/electro songs suggestions ? (MUKKA- Russian band),mukka,Artist
Christmas Music,,
Music similar to Omicide by Vast?,omicide,WoA
Music similar to Omicide by Vast?,vast,Artist
Japanese Balades ?,,
Softer songs sung by traditionally rock vocalists/harsher voices with minimal instruments (e.g. lead me out of the dark),lead me out of the dark,WoA
Summery good mood indie pop songs?,,
Kody Lavigne - No Room,kody lavigne,Artist
Kody Lavigne - No Room,no room,WoA
Any music with Ocarina or Flute (or both) sounds blended with pop or electronic.. music.,,
Found a song by Yoko Kanno I absolutely love but I can’t find anything similar any suggestions?,yoko kanno,Artist
find me a song or a playlist that is similar to this?,,
What genre is this and what are some similar tunes?,,
Waiting On the World to Change - John Mayer (Acoustic Cover),waiting on the world to change,WoA
Waiting On the World to Change - John Mayer (Acoustic Cover), john mayer,Artist
Sik World - I Don't Even Know,sik world,Artist
Sik World - I Don't Even Know, i dont even know,WoA
songs like dance little liar by arctic monkeys?,dance little liar,WoA
songs like dance little liar by arctic monkeys?,arctic monkeys,Artist
"Looking for songs similar to ""Your Future is Not Mine"" from Adidas Commercial?",your future is not mine,WoA
Similar songs to - Look Away by Big Country,look away,WoA
Similar songs to - Look Away by Big Country,big country,Artist
"""Au Bar Des Suicides"" - Pierre Lapointe",pierre lapointe,Artist
"""Au Bar Des Suicides"" - Pierre Lapointe",au bar des suicides,WoA
"Looking for more melodic, dark music like Dodie's darker music.",dodies,Artist
Song Like Anderson .Paak - Come Down,anderson paak,Artist
Song Like Anderson .Paak - Come Down,come down,WoA
Anything similar to Una Lady Como Tú by Manuel Torizo,una lady como tú,WoA
Anything similar to Una Lady Como Tú by Manuel Torizo,manuel torizo,Artist
"Looking for brostep suggestions, preferably on bandcamp.",,
Similar music/artist/song to Plastic Heart - Nostalghia (John Wick 2 soundtrack)?,plastic heart,WoA
Similar music/artist/song to Plastic Heart - Nostalghia (John Wick 2 soundtrack)?,nostalghia,Artist
Similar music/artist/song to Plastic Heart - Nostalghia (John Wick 2 soundtrack)?,john wick 2,WoA
"I discovered this song ""When love was born"" by One Voice Children's Choir the other day and it has been in repeat in my playlist since then.",when love was born,WoA
"I discovered this song ""When love was born"" by One Voice Children's Choir the other day and it has been in repeat in my playlist since then.",one voice childrens choir,Artist
What type of genre is this?,,
Music that sounds like Slowdive?,slowdive,Artist
I need a song similar to Young MC - Know How that has Spanish lyrics,young mc,Artist
I need a song similar to Young MC - Know How that has Spanish lyrics,know how,WoA
Suggestions for any French-singing bands based on my taste?,,
Bassy Synth Trance Stuff?,,
I'm looking for music similar to the Eichenwalde loading theme from Overwatch,eichenwalde,WoA
I'm looking for music similar to the Eichenwalde loading theme from Overwatch,overwatch,WoA
Looking for a song to perform as a cover in a band,,
Music like the Birds of Prey soundtrack?,the birds of prey,WoA
"Looking for 1930s style upbeat, funny, racoutious music hall type of songs like these, that can be played on the piano ..",,
good music (preferably pop punk) about someone becoming a 'monster' and not being able to go back.,,
"Albums for cold, dark, rainy days?",,
Looking for Spanish Bad Bxtch Vibes,,
"Songs that have an irresistible, syncopated hook like Timbaland’s “Get Your Freak On” and “ugly”",timbalands,Artist
"Songs that have an irresistible, syncopated hook like Timbaland’s “Get Your Freak On” and “ugly”", get your freak on,WoA
"Songs that have an irresistible, syncopated hook like Timbaland’s “Get Your Freak On” and “ugly”",ugly,WoA
"Any suggestions for someone who likes the intro of ""Narcos""",narcos,WoA
5 albums for my sister,,
"Looking for songs like ""Thousand Foot Krutch - Be Somebody""",thousand foot krutch,Artist
"Looking for songs like ""Thousand Foot Krutch - Be Somebody""",be somebody,WoA
I'm looking for songs similar to this. Any Help?,,
Looking for something new,,
Gianni DiBernardo - Summers Mine,summers mine,WoA
Gianni DiBernardo - Summers Mine,gianni dibernardo,Artist
list of my favorite music....,,
"Do you know anything like MGMT/M83 that’s bouncy, has a good bass, and is kinda groovy?",mgmt,Artist
"Do you know anything like MGMT/M83 that’s bouncy, has a good bass, and is kinda groovy?",m83,Artist
Music that sound like this entrance.,,
K1aus- One Love,k1aus,Artist
K1aus- One Love, one love,WoA
"Any songs that without particularly sad lyrics/overall feel, that are much more instrumental than electronic (preferably no autotune) you'd recommend?",,
Recommend some classic awesome songs for a playlist please?,,
Recommend me some new wave please!!,,
Songs similar to Square Hammer by Ghost,square hammer,WoA
Songs similar to Square Hammer by Ghost,ghost,Artist
"Looking for similar songs like ""Moonbeam - Step into my world""",moonbeam,Artist
"Looking for similar songs like ""Moonbeam - Step into my world""",step into my world,WoA
"I like MGMT and Lana Del Rey, they both are really relaxing for me. What else would you suggest?",mgmt,Artist
"I like MGMT and Lana Del Rey, they both are really relaxing for me. What else would you suggest?",lana del rey,Artist
"repetitive, instrumental electronic music like this NEU! song.",neu,Artist
Songs similar to the ones in Marvelous Mrs Maisel Season 3,marvelous mrs maisel,WoA
Songs about standing up for yourself?,,
On the search for Rock/Metal/Powerpop songs with a energetic or pump-up feel. Suggestions?,,
Im looking for some country album like red dead redemption 2 soundtrack,red dead redemption 2,WoA
Any artists similar to Joji Miller?,joji miller,Artist
Looking for music similar to this background track..(electronic),,
Songs like High by Peking Duk ft. Nicole Millar,high,WoA
Songs like High by Peking Duk ft. Nicole Millar,peking duk,Artist
Songs like High by Peking Duk ft. Nicole Millar,nicole millar,Artist
Albums and songs for someone who liked Currents by Tame Impala,currents,WoA
Albums and songs for someone who liked Currents by Tame Impala,tame impala,Artist
"Songs like "" I keep looking for you"" or seeing you around? Wanting to see you?", i keep looking for you,WoA
"I love the beat behind Stormzy's Vossi Bop, similar suggestions?",stormzys,Artist
"I love the beat behind Stormzy's Vossi Bop, similar suggestions?",vossi bop,WoA
"My ""Pop choir"" need some music suggestions, help please?!",,
are there any other songs similiar to The Whistle Song - by Netsky (Riot Jazz Brass Band),the whistle song,WoA
are there any other songs similiar to The Whistle Song - by Netsky (Riot Jazz Brass Band),netsky,Artist
Looking for music similar to this song for a playlist.,,
"Sounds like Nirvana, but just the drum and bass",nirvana,Artist
Looking for creepy covers of songs,,
Pop songs with good bass lines like Candy by Doja Cat?,candy,WoA
Pop songs with good bass lines like Candy by Doja Cat?,doja cat,Artist
The Doors: Universal Mind,the doors,Artist
The Doors: Universal Mind,universal mind,WoA
Looking for similar Jaden - On My Own ft Kid Cudi,jaden,Artist
Looking for similar Jaden - On My Own ft Kid Cudi,on my own,WoA
Looking for similar Jaden - On My Own ft Kid Cudi,kid cudi,Artist
Bands that have the same vibes at Health,health,Artist
Not sure what I'm looking for but it's not elvis,elvis,Artist
Trying to Listen to More Music,,
any suggestions for melodic house remixes like this one (Cinematic Orchestra - To Build A Home (Kopa Remix)?,cinematic orchestra,Artist
any suggestions for melodic house remixes like this one (Cinematic Orchestra - To Build A Home (Kopa Remix)?,to build a home,WoA
any suggestions for melodic house remixes like this one (Cinematic Orchestra - To Build A Home (Kopa Remix)?,kopa,Artist
Can you please give me a list of Lofi songs or songs in general that have Her movie samples in it?,her,WoA
Looking for chill/beach house music,,
Looking for Psy-dub albums/tracks with a slow oldschool reggae/dub vibe without too much complicated sounds and effects.,,
Workout Music 2020 - Workout Hits 2020,,
Music with non-english female vocals that sound similar to these examples,,
Looking for songs similar to “Best Intentions” by Hodera,best intentions,WoA
Looking for songs similar to “Best Intentions” by Hodera,hodera,Artist
Looking for Prog Rock/Prog metal Similar to Tool,tool,Artist
Recommend me the best acoustic covers of rock songs you've ever heard!!,,
Songs or Artists similar to Ron Pope?,ron pope,Artist
House music like these sets,,
[Request] love songs with a desperately in love “I would kill for you” type vibe,,
More Jazz songs with this style of signing?,,
This one is called gladiator by zayde wolf,gladiator,WoA
This one is called gladiator by zayde wolf,zayde wolf,Artist
Looking for some new bands to listen to,,
"Im looking for songs like ""beautiful"" by hedley. Any suggestions?",beautiful,WoA
"Im looking for songs like ""beautiful"" by hedley. Any suggestions?",hedley,Artist
"Addicted to “GONE, GONE / THANK YOU” in IGOR by Tyler, and I’m looking for songs/albums that sound like it.",tyler,Artist
"Addicted to “GONE, GONE / THANK YOU” in IGOR by Tyler, and I’m looking for songs/albums that sound like it.",gone gone thank you,WoA
"Addicted to “GONE, GONE / THANK YOU” in IGOR by Tyler, and I’m looking for songs/albums that sound like it.",igor,WoA
"I am new to EDM, would like suggestions based off of one specific song I really dig",,
Musical Inspiration Help?,,
Music genres that have 5 or more bars,,
Any more fire like this?,,
"Something (songs or groups) similar to ""Country Of The Future"" by Mirah?",country of the future,WoA
"Something (songs or groups) similar to ""Country Of The Future"" by Mirah?",mirah,Artist
Artists Like Jon Bellion?, jon bellion,Artist
Songs like Fight Back (from Neffex),fight back,WoA
Songs like Fight Back (from Neffex),neffex,Artist
Music with Guitar like Zedd - Happy Now,zedd,Artist
Music with Guitar like Zedd - Happy Now,happy now,WoA
I'm looking for songs like these. Starts soft builds throughout ends hard. Basically a cinematic version of regular songs.,,
I'm completely addicted to this song... Know anything similar? or atleast as catchy?,,
Any similar songs like Pray - Alok (ft. Conor Maynard)?,pray,WoA
Any similar songs like Pray - Alok (ft. Conor Maynard)?,alok,Artist
Any similar songs like Pray - Alok (ft. Conor Maynard)?,conor maynard,Artist
Looking for some sad song suggestions,,
Song Similar like Under The Water - AURORA and Hit and Run - LOLO,under the water,WoA
Song Similar like Under The Water - AURORA and Hit and Run - LOLO,aurora,Artist
Song Similar like Under The Water - AURORA and Hit and Run - LOLO,hit and run,WoA
Song Similar like Under The Water - AURORA and Hit and Run - LOLO,lolo,Artist
Songs similar to Monster Mash?,monster mash,WoA
Looking for some synthy psychedelic music. Similar to Tame Impala's Currents or Mac Demarco's Chamber of Reflection,tame impalas,Artist
Looking for some synthy psychedelic music. Similar to Tame Impala's Currents or Mac Demarco's Chamber of Reflection,currents,WoA
Looking for some synthy psychedelic music. Similar to Tame Impala's Currents or Mac Demarco's Chamber of Reflection,mac demarcos,Artist
Looking for some synthy psychedelic music. Similar to Tame Impala's Currents or Mac Demarco's Chamber of Reflection,chamber of reflection,WoA
Jon Hopkins - The Wilder Sun. what genre this is/where to find more?,the wilder sun,WoA
Jon Hopkins - The Wilder Sun. what genre this is/where to find more?,jon hopkins,Artist
The Meatbodies (Alice Album),meatbodies,Artist
The Meatbodies (Alice Album),alice,WoA
I felt love with this chords. Looking for similar once.,,
Any more good 20s-30s chillhop remixes like this?,,
Music similar to Title Fight - Hyperview,title fight,Artist
Music similar to Title Fight - Hyperview,hyperview,WoA
Looking for musical-esque bad guy songs.,,
Middle Eastern + Synth combo,,
"Overstimulated by music, please help",,
"Music like ""Nominal - Everyday Anyone""",nominal,Artist
"Music like ""Nominal - Everyday Anyone""",everyday anyone,WoA
Looking for Song Suggestions,,
Looking for something like Stickerbush Symphony from Donkey Kong Country 2,stickerbush symphony,WoA
Looking for something like Stickerbush Symphony from Donkey Kong Country 2,donkey kong country 2,WoA
"Looking for songs like ""Keep your Eyes Peeled"" by QOTSA",keep your eyes peeled,WoA
"Looking for songs like ""Keep your Eyes Peeled"" by QOTSA",qotsa,Artist
"Circles by Post Malone is one of my new faves, and I need more like it.",circles,WoA
"Circles by Post Malone is one of my new faves, and I need more like it.",post malone,Artist
indie/soft rock/folk suggestions?,,
Groovy remixes of 80s songs?,,
Rocket League-Like EDM/Electronic music,rocket league,WoA
Songs like End Credits by EDEN?,end credits,WoA
Songs like End Credits by EDEN?,eden,Artist
happy acoustic songs?,,
Music similar to Ride Across The River,ride across the river,WoA
Looking for similar songs to 'Feeling Good by Michael Buble,feeling good,WoA
Looking for similar songs to 'Feeling Good by Michael Buble,michael buble,Artist
"Suggestions for music with a ""Matrix"" vibe",matrix,WoA
Nostalgic Songs in English or spanish.,,
Any songs similar to Castle by Halsey?,castle,WoA
Any songs similar to Castle by Halsey?,halsey,Artist
Any tracks like this one?,,
"So Netflix's Beastars has epic OP, would like to find more like that",beastars,Artist
Softer songs by heavier bands,,
Any suggestions of sexy bluesy/jazzy songs like Out of My Mind by John Mayer?,out of my mind,WoA
Any suggestions of sexy bluesy/jazzy songs like Out of My Mind by John Mayer?,john mayer,Artist
Songs like this? Poetry: How Does It Feel? by Akua Naru (Jazz- Spoken Word),poetry how does it feel,WoA
Songs like this? Poetry: How Does It Feel? by Akua Naru (Jazz- Spoken Word),akua naru,Artist
"Looking for high rhythm gym music, any help?",,
Music like John Mayer's Paradise Valley & Born and Raised, john mayers,Artist
Music like John Mayer's Paradise Valley & Born and Raised,paradise valley,WoA
Music like John Mayer's Paradise Valley & Born and Raised,born and raised,WoA
I’m looking for a specific kind of music,,
"Similar songs to ''Story of My Life'' and/or ''High Hopes""?",story of my life,WoA
"Similar songs to ''Story of My Life'' and/or ''High Hopes""?",high hopes,WoA
I am looking for a good rap song. Like somthing really emotional,,
Suggestions for music that makes you nostalgic about being a teenager?,,
I need songs that are just as beautiful as “First Love / Late Spring” by Mitski,first love late spring,WoA
I need songs that are just as beautiful as “First Love / Late Spring” by Mitski,mitski,Artist
Songs that hit you in the heart,,
Albums similar to Santanaworld by Tay-K?,santanaworld,WoA
Albums similar to Santanaworld by Tay-K?,tay k,Artist
"What are some songs with a “happy rock/punk” sort of vibe similar to “Pages and Paragraphs” by Set It Off, or “The Anthem” by Good Charlotte?",pages and paragraphs,WoA
"What are some songs with a “happy rock/punk” sort of vibe similar to “Pages and Paragraphs” by Set It Off, or “The Anthem” by Good Charlotte?",set it off,Artist
"What are some songs with a “happy rock/punk” sort of vibe similar to “Pages and Paragraphs” by Set It Off, or “The Anthem” by Good Charlotte?",the anthem,WoA
"What are some songs with a “happy rock/punk” sort of vibe similar to “Pages and Paragraphs” by Set It Off, or “The Anthem” by Good Charlotte?",good charlotte,Artist
"Country tunes / Outlaw music. These are my favorites, please suggest more...",,
I NEED music for my friend.,,
Songs like Time To Say Goodbye- Andrea Bocelli ft sarah brightman.,time to say goodbye,WoA
Songs like Time To Say Goodbye- Andrea Bocelli ft sarah brightman.,andrea bocelli,Artist
Songs like Time To Say Goodbye- Andrea Bocelli ft sarah brightman.,sarah brightman,Artist
African music similar to this (background music).,,
Looking for bands like Moon Hooch and Too Many Zooz,moon hooch,Artist
Looking for bands like Moon Hooch and Too Many Zooz,too many zooz,Artist
Artists like Specii (romanian hip-hop),specii,Artist
"Looking for some new metal to jam (extremely picky, sorry!)",,
Similiar to Thom Yorke and Floex,thom yorke,Artist
Similiar to Thom Yorke and Floex,floex,Artist
Dré Anthony - Dice,dré anthony,Artist
Dré Anthony - Dice,dice,WoA
Great Instrumental Music,,
sad songs,,
I need Deep House song recommendations,,
I'm looking for songs with a similar sound to the intro of Photomaton by Jabberwocky.,photomaton,WoA
I'm looking for songs with a similar sound to the intro of Photomaton by Jabberwocky.,jabberwocky,Artist
suggest me musics like these ones!!!,,
recommend artists/songs that remind you of Paris?,,
Need some comeback music,,
I am looking for good albums.,,
Punk & rock music with very pronounced/heavy bass guitar?,,
"old school hip-hop with ambient, wavy or futuristic sounding beats",,
Polish-Canadian Folk Rock - Olenka and the Autumn lovers., olenka and the autumn lovers,Artist
Sad songs with a quicker beat/rap,,
Song about asking questions.,,
Looking for downtempo ethereal synthpop,,
Looking for cyberpunk-y music like Spoiler or Clockwork by Hyper,spoiler,WoA
Looking for cyberpunk-y music like Spoiler or Clockwork by Hyper,clockwork,WoA
Looking for cyberpunk-y music like Spoiler or Clockwork by Hyper,hyper,Artist
any suggestions for songs that are kinda chill sadvibe or something like that...,,
Songs similar to Japanese Ceremonial Tea (Interlude), japanese ceremonial tea,WoA
Looking for a specific theme.,,
"Looking for ""situation"" music",,
Need to find song like Ex Cops - Black Soap,ex cops,Artist
Need to find song like Ex Cops - Black Soap,black soap,WoA
Most unique artists/bands,,
Looking for artists similar to Daft Punk.,daft punk,Artist
Looking for some Jazz with funky bass,,
Any more songs that have a similar instrumental tune like this? (I am more focused on the tune here than the wording.),,
"I'd love to learn new songs that have a happy, upbeat vibe, like Lean on from Major Lazer and MØ.",lean on,WoA
"I'd love to learn new songs that have a happy, upbeat vibe, like Lean on from Major Lazer and MØ.",major lazer,Artist
"I'd love to learn new songs that have a happy, upbeat vibe, like Lean on from Major Lazer and MØ.",mø,Artist
Looking for music suggestions for my 11 year old daughter for xmas.,,
"Looking for Songs Like ""Cuphead Rap""",cuphead rap,WoA
Any bands like fish era marillion?,marillion,Artist
Any bands like fish era marillion?,fish,Artist
Drake Bell - Its never Over,its never over,WoA
Drake Bell - Its never Over,drake bell,Artist
Songs similar to Blackbird by Alter Ridge?,blackbird,WoA
Songs similar to Blackbird by Alter Ridge?,alter ridge,Artist
"I'm searching for modern music that's similar to K-CI and Jojo, Joe, Montell Jordan, Usher (My Way era)...",k ci and jojo,Artist
"I'm searching for modern music that's similar to K-CI and Jojo, Joe, Montell Jordan, Usher (My Way era)...",joe,Artist
"I'm searching for modern music that's similar to K-CI and Jojo, Joe, Montell Jordan, Usher (My Way era)...", montell jordan,Artist
"I'm searching for modern music that's similar to K-CI and Jojo, Joe, Montell Jordan, Usher (My Way era)...",usher,Artist
"I'm searching for modern music that's similar to K-CI and Jojo, Joe, Montell Jordan, Usher (My Way era)...",my way,WoA
Looking Chillhop/Jazz Hop with rap vocals,,
Certain Metal Music Suggestions,,
Classic Psychedelic style in modern music?,,
indie/alt dance party??,,
What are some instrumentals that are romantic for you?,,
Looking for more tribal/jungle EDM like this,,
Older or newer non Indonesian songs that are similar to these Indonesian songs,,
Looking for new music to listen to,,
Songs like this one,,
Suggest me some songs about being wicked.,,
WALTZES PLZ,,
"Boybands and girlbands after 2005, similar to these ones",,
[Request] Looking for similar artists as Hoodie Allen and G-eazy,hoodie allen,Artist
[Request] Looking for similar artists as Hoodie Allen and G-eazy,g eazy,Artist
"beat/song like 'Rusty' by Tyler, the Creator ?",rusty,WoA
"beat/song like 'Rusty' by Tyler, the Creator ?",tyler the creator,Artist
What is the name of this kind og music?,og music,Artist
"Looking for songs like ""Heroes"" by Peter Gabriel",heroes,WoA
"Looking for songs like ""Heroes"" by Peter Gabriel",peter gabriel,Artist
"""Happy songs"" like France Gall's Dann Schon eher der Piano player",france galls,Artist
"""Happy songs"" like France Gall's Dann Schon eher der Piano player",dann schon eher der piano player,WoA
Jutes - Walk On Me,jutes,Artist
Jutes - Walk On Me,walk on me,WoA
Songs like Snuff by Slipknot,snuff,WoA
Songs like Snuff by Slipknot,slipknot,Artist
70's funky rock and sexy dance songs,,
Where can I find more songs with guitar solos like this? (Imagine Dragons cover of Mad World by Gary Jules),imagine dragons,Artist
Where can I find more songs with guitar solos like this? (Imagine Dragons cover of Mad World by Gary Jules),mad world,WoA
Where can I find more songs with guitar solos like this? (Imagine Dragons cover of Mad World by Gary Jules),gary jules,Artist
any intro that’s like this?,,
"""Wintery, glitzy synth"" suggestions?",,
"Songs similar to ""Annabelle - Gillian Welch""?",annabelle,WoA
"Songs similar to ""Annabelle - Gillian Welch""?",gillian welch,Artist
"Looking for a really good dance party playlist. Not genre-specific, but music that anyone could dance to.",,
Complex prog metal and saxophone,,
Need crisis/dystopian atmosphere music/albums,,
Songs similar to You Gon Learn by eminem,eminem,Artist
Songs similar to You Gon Learn by eminem,you gon learn,WoA
Songs like The Seven Deadly Sins OST,seven deadly sins,WoA
Looking for video-game inspired instrumental metal music (no vocals),,
Looking for songs like these (basically New Age),,
I'm looking for some good rock and or metal albums,,
Bands like Greta Van Fleet? 70’s rock revival?,greta van fleet,Artist
Primal or tribal songs? Or semi-primal song?,,
Dark/sinister/powerful music similar to this?,,
Tribal drumming/singing or anything like it for healing/meditation-y stuff? NOT overly cheesy new age,,
More like the Cowboy Bebop Theme Song by Tank! Energetic Jazz?,cowboy bebop,WoA
More like the Cowboy Bebop Theme Song by Tank! Energetic Jazz?,tank,Artist
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",something about us,WoA
"Looking for songs similar to Something About Us (Daft Punk), Remind Me (Royksopp), Will Do (TV on the Radio) & Imagination (Foster the People); Sad Electric music",daft punk,Artist
